Year,Month,FX,Demand,ADR,Country
2012,1,1.55,10747730,93.0137473,UK
2012,2,1.58,11334574,94.96701345,UK
2012,3,1.58,13157453,97.45828659,UK
2012,4,1.6,13078222,97.8993457,UK
2012,5,1.59,14307757,102.7794,UK
2012,6,1.56,14303379,107.2910419,UK
2012,7,1.56,14725160,112.5857809,UK
2012,8,1.57,14595950,109.0512485,UK
2012,9,1.61,14902909,104.5522184,UK
2012,10,1.61,14924425,103.4480076,UK
2012,11,1.6,13609021,101.466765,UK
2012,12,1.61,12171431,95.43368731,UK
2013,1,1.6,10998856,90.25869945,UK
2013,2,1.55,11947019,92.68351722,UK
2013,3,1.51,13650473,94.74792122,UK
2013,4,1.53,13822041,97.58828444,UK
2013,5,1.53,14972973,103.8600667,UK
2013,6,1.55,15063943,112.5158754,UK
2013,7,1.52,15751133,105.6844119,UK
2013,8,1.55,15550422,101.0024869,UK
2013,9,1.58,15226666,110.0121193,UK
2013,10,1.61,15364673,108.6479381,UK
2013,11,1.61,14125929,105.4306641,UK
2013,12,1.64,12670747,100.2283597,UK
2014,1,1.65,11493925,93.70460867,UK
2014,2,1.66,12451352,97.34553549,UK
2014,3,1.66,14120377,100.8384158,UK
2014,4,1.67,14217644,102.8335759,UK
2014,5,1.68,15226012,107.0781458,UK
2014,6,1.69,15192868,115.9357439,UK
2014,7,1.71,16127572,111.7543028,UK
2014,8,1.67,16064504,106.5241741,UK
2014,9,1.63,15877271,115.4788871,UK
2014,10,1.61,15767323,111.8023814,UK
2014,11,1.58,14523088,110.1667926,UK
2014,12,1.56,13359245,106.1832285,UK
2015,1,1.51,12052402,98.19061253,UK
2015,2,1.53,12861637,101.2257099,UK
2015,3,1.5,14403685,104.2870553,UK
2015,4,1.49,14267860,105.7390682,UK
2015,5,1.55,15346626,110.6371459,UK
2015,6,1.56,15617743,118.7579715,UK
2015,7,1.56,16387966,116.5932119,UK
2015,8,1.56,16019269,111.8864364,UK
2015,9,1.53,16046102,122.3186943,UK
2015,10,1.53,16045695,120.028881,UK
2015,11,1.52,14360743,113.0215812,UK
2015,12,1.5,13333387,107.4015127,UK
2016,1,1.44,11975442,98.03323535,UK
2016,2,1.43,12734435,102.7972096,UK
2016,3,1.42,14220727,104.7963353,UK
2016,4,1.43,14650711,107.8333246,UK
2016,5,1.45,15237037,112.5843858,UK
2016,6,1.42,15503126,120.211082,UK
2016,7,1.31,16624656,121.0552805,UK
2016,8,1.31,16187787,113.4032204,UK
2016,9,1.31,16200874,123.2815937,UK
2016,10,1.24,15887768,116.0584836,UK
2016,11,1.24,14986439,116.4126701,UK
2016,12,1.25,13870241,113.3702002,UK
2017,1,1.23,12532525,101.6672081,UK
2017,2,1.25,13091024,105.6732826,UK
2017,3,1.23,14808370,110.1080804,UK
2017,4,1.26,14989556,112.9317394,UK
2017,5,1.29,15852565,119.1956083,UK
2017,6,1.28,15728238,125.6177655,UK
2017,7,1.3,16880730,126.5604185,UK
2017,8,1.3,16429544,117.2796733,UK
2017,9,1.33,16390339,126.3666765,UK
2017,10,1.32,16138921,117.868617,UK
2017,11,1.32,15068896,118.2006567,UK
2017,12,1.34,14025125,114.8464549,UK
2018,1,1.38,12849857,102.7888222,UK
2018,2,1.4,13273746,107.0158634,UK
2018,3,1.4,15005548,111.6743552,UK
2018,4,1.41,15074955,113.320159,UK
2018,5,1.35,16151908,118.6999199,UK
2018,6,1.33,16294857,127.7125866,UK
2018,7,1.32,17380787,132.0666242,UK
2018,8,1.29,17009949,120.8075202,UK
2018,9,1.3,16571661,125.7906851,UK
2018,10,1.3,16898318,123.3217653,UK
2018,11,1.29,15507187,120.1051576,UK
2018,12,1.27,14654406,119.1444493,UK
2019,1,1.29,13158177,104.1883597,UK
2019,2,1.3,13600315,106.2569926,UK
2019,3,1.32,15374928,110.954429,UK
2019,4,1.3,15317278,113.2270276,UK
2019,5,1.29,16438269,118.6824041,UK
2019,6,1.27,16877548,134.6937933,UK
2019,7,1.25,17786475,132.9882578,UK
2012,1,1.04,5880677,125.7841895,Australia
2012,2,1.07,5539945,126.1879715,Australia
2012,3,1.06,6325702,128.7378032,Australia
2012,4,1.04,5529092,120.3875489,Australia
2012,5,1,5841046,123.0535892,Australia
2012,6,1,5457813,120.7114256,Australia
2012,7,1.03,5981722,121.7566793,Australia
2012,8,1.05,6135787,124.1401985,Australia
2012,9,1.04,6045888,126.36793,Australia
2012,10,1.03,6369092,127.37635,Australia
2012,11,1.04,6327291,129.7854319,Australia
2012,12,1.05,5749487,130.4610398,Australia
2013,1,1.05,5865517,127.679374,Australia
2013,2,1.03,5721523,128.7223375,Australia
2013,3,1.03,6257736,129.5410154,Australia
2013,4,1.04,5734914,121.596109,Australia
2013,5,0.99,5757575,122.2187043,Australia
2013,6,0.94,5595743,123.5298833,Australia
2013,7,0.92,6215781,124.4735923,Australia
2013,8,0.9,6313549,125.1844207,Australia
2013,9,0.93,6050152,123.7839768,Australia
2013,10,0.95,6621194,130.3312288,Australia
2013,11,0.93,6408994,132.0290427,Australia
2013,12,0.9,6015271,136.6123936,Australia
2014,1,0.89,6074800,131.3464641,Australia
2014,2,0.9,5857729,131.0055622,Australia
2014,3,0.91,6408626,131.0682783,Australia
2014,4,0.93,5949112,124.3630025,Australia
2014,5,0.94,5974718,124.813004,Australia
2014,6,0.94,5590225,122.0878065,Australia
2014,7,0.94,6237254,123.1075306,Australia
2014,8,0.93,6322194,125.5062763,Australia
2014,9,0.91,6198606,126.6931691,Australia
2014,10,0.88,6715753,133.0078537,Australia
2014,11,0.87,6529253,137.9267999,Australia
2014,12,0.82,6018340,134.8896067,Australia
2015,1,0.81,6107222,132.365403,Australia
2015,2,0.78,5968469,137.1368783,Australia
2015,3,0.77,6529427,135.8830931,Australia
2015,4,0.77,6093086,124.9498552,Australia
2015,5,0.79,6094490,123.4092995,Australia
2015,6,0.77,5725893,121.312702,Australia
2015,7,0.74,6466167,126.2332251,Australia
2015,8,0.73,6404932,126.5505377,Australia
2015,9,0.71,6380832,126.4785595,Australia
2015,10,0.72,6821597,135.852239,Australia
2015,11,0.71,6597677,136.5652133,Australia
2015,12,0.72,6224535,139.3184632,Australia
2016,1,0.7,6220258,135.713406,Australia
2016,2,0.71,6041377,139.5368164,Australia
2016,3,0.75,6585797,135.5434189,Australia
2016,4,0.77,6317516,127.0969732,Australia
2016,5,0.73,6197468,123.1553598,Australia
2016,6,0.74,5919294,122.5984454,Australia
2016,7,0.75,6584674,126.5306317,Australia
2016,8,0.76,6532301,126.8625477,Australia
2016,9,0.76,6561837,129.3790339,Australia
2016,10,0.76,6851079,136.8319852,Australia
2016,11,0.75,6707673,136.6019508,Australia
2016,12,0.73,6315216,142.7772992,Australia
2017,1,0.75,6400059,140.419484,Australia
2017,2,0.77,6067840,137.1907249,Australia
2017,3,0.76,6823152,136.6703109,Australia
2017,4,0.75,6232178,128.5619586,Australia
2017,5,0.74,6304599,125.6445968,Australia
2017,6,0.76,5991833,123.8563574,Australia
2017,7,0.78,6793430,127.21779,Australia
2017,8,0.79,6724931,128.267763,Australia
2017,9,0.8,6560230,131.746945,Australia
2017,10,0.78,6975734,136.9396956,Australia
2017,11,0.76,6884484,139.7243117,Australia
2017,12,0.77,6523851,145.8765766,Australia
2018,1,0.8,6516710,140.3206961,Australia
2018,2,0.79,6270820,138.7888664,Australia
2018,3,0.78,6863927,141.7899196,Australia
2018,4,0.77,6396922,132.5683201,Australia
2018,5,0.75,6484535,126.1901991,Australia
2018,6,0.75,6110257,124.6065729,Australia
2018,7,0.74,6853519,126.9497364,Australia
2018,8,0.73,6886143,130.25566,Australia
2018,9,0.72,6585866,132.5023019,Australia
2018,10,0.71,7030990,139.4818665,Australia
2018,11,0.72,6901729,140.6713947,Australia
2018,12,0.72,6491503,145.0641326,Australia
2019,1,0.72,6526032,141.1724679,Australia
2019,2,0.71,6297773,139.535382,Australia
2019,3,0.71,6902336,135.8243228,Australia
2019,4,0.71,6489067,129.1264496,Australia
2019,5,0.69,6513038,125.5979708,Australia
2019,6,0.69,6127610,122.9781425,Australia
2019,7,0.7,6973652,126.5896027,Australia
2012,1,1.29,10192824,92.09316378,France
2012,2,1.32,9884125,88.82269526,France
2012,3,1.32,12371181,95.08608375,France
2012,4,1.32,12422296,94.35305636,France
2012,5,1.28,13150724,103.696681,France
2012,6,1.25,14561704,105.7021605,France
2012,7,1.23,14196636,104.4315421,France
2012,8,1.24,13169772,97.03204187,France
2012,9,1.29,14049311,105.6948088,France
2012,10,1.3,13390086,104.9615475,France
2012,11,1.28,11278346,93.92391031,France
2012,12,1.31,10115837,94.84542911,France
2013,1,1.33,9803565,92.46330706,France
2013,2,1.34,9626203,88.74313875,France
2013,3,1.3,11915109,92.46015985,France
2013,4,1.3,12039396,94.00704553,France
2013,5,1.3,13484785,103.9576126,France
2013,6,1.32,14493375,110.0187666,France
2013,7,1.31,14114769,101.6740304,France
2013,8,1.33,13538291,99.07855108,France
2013,9,1.33,13935801,104.4632587,France
2013,10,1.36,13405387,100.3740844,France
2013,11,1.35,11167900,93.79403545,France
2013,12,1.37,10200325,94.21618695,France
2014,1,1.36,9797809,89.60928033,France
2014,2,1.36,9746235,85.87144762,France
2014,3,1.38,11504602,89.36551834,France
2014,4,1.38,12670716,91.30317096,France
2014,5,1.37,13295897,102.3489628,France
2014,6,1.36,14485982,107.1740257,France
2014,7,1.35,14140811,98.93642363,France
2014,8,1.33,14166569,97.71729682,France
2014,9,1.29,14392766,103.1735943,France
2014,10,1.27,13627002,101.0203692,France
2014,11,1.25,10989365,90.24664278,France
2014,12,1.23,10783073,91.5142917,France
2015,1,1.16,9872991,92.49124796,France
2015,2,1.14,9755064,87.93015466,France
2015,3,1.08,11847047,92.99996327,France
2015,4,1.08,12504070,94.48662624,France
2015,5,1.12,13416961,103.8038574,France
2015,6,1.12,14810155,111.1906221,France
2015,7,1.1,14414636,105.3375184,France
2015,8,1.11,14058502,101.885472,France
2015,9,1.12,14442305,105.7477808,France
2015,10,1.12,13395880,100.4618145,France
2015,11,1.07,10606914,92.08507684,France
2015,12,1.09,10175904,96.22315605,France
2016,1,1.09,9924438,91.60389547,France
2016,2,1.11,10070278,88.64744637,France
2016,3,1.11,12602317,93.53306883,France
2016,4,1.13,12105592,91.84712966,France
2016,5,1.13,13810576,104.4547564,France
2016,6,1.12,14772717,118.51196,France
2016,7,1.11,14245717,107.0645854,France
2016,8,1.12,13399892,98.95588768,France
2016,9,1.12,14139274,104.2668508,France
2016,10,1.1,13599523,98.62089807,France
2016,11,1.08,11599355,90.0417591,France
2016,12,1.05,10849738,92.72134846,France
2017,1,1.06,11150872,93.78763519,France
2017,2,1.06,10469821,88.76587953,France
2017,3,1.07,13141337,94.62215711,France
2017,4,1.07,13634063,93.01660504,France
2017,5,1.11,14126801,104.6128215,France
2017,6,1.12,15355127,110.1627453,France
2017,7,1.15,15319769,104.3505702,France
2017,8,1.18,14709194,101.5084383,France
2017,9,1.19,15362595,106.6561446,France
2017,10,1.17,14729610,99.54359405,France
2017,11,1.17,12758958,93.38984659,France
2017,12,1.18,11767480,95.18848072,France
2018,1,1.22,10896213,94.19601223,France
2018,2,1.23,10644867,90.54335222,France
2018,3,1.23,13174531,96.35984372,France
2018,4,1.23,13117204,97.09246626,France
2018,5,1.18,13924790,105.0563837,France
2018,6,1.17,15091944,113.4993753,France
2018,7,1.17,15203868,109.0688402,France
2018,8,1.15,14664077,105.1532161,France
2018,9,1.17,15043976,114.5082765,France
2018,10,1.15,14420871,107.036493,France
2018,11,1.14,12402490,98.73576408,France
2018,12,1.14,11431177,97.01314408,France
2019,1,1.14,11004996,95.37467709,France
2019,2,1.14,10580366,89.94675483,France
2019,3,1.13,13137597,95.30597141,France
2019,4,1.12,13972252,97.33522567,France
2019,5,1.12,13764240,107.6820672,France
2019,6,1.13,15924093,119.0443305,France
2019,7,1.12,15557816,109.9375241,France
2012,1,1.29,9747840,103.8125519,Germany
2012,2,1.32,9971980,104.4793149,Germany
2012,3,1.32,12286472,107.0440044,Germany
2012,4,1.32,11575391,101.310524,Germany
2012,5,1.28,13122516,115.9291566,Germany
2012,6,1.25,12970136,106.9882779,Germany
2012,7,1.23,12752411,95.59272236,Germany
2012,8,1.24,12822675,95.03672832,Germany
2012,9,1.29,14363277,124.635387,Germany
2012,10,1.3,13603826,113.4857472,Germany
2012,11,1.28,12428832,106.7093794,Germany
2012,12,1.31,11054515,99.83277031,Germany
2013,1,1.33,10143669,108.0206388,Germany
2013,2,1.34,10104054,105.7203786,Germany
2013,3,1.3,11978657,107.2650892,Germany
2013,4,1.3,12279463,112.249466,Germany
2013,5,1.3,12876116,104.5976839,Germany
2013,6,1.32,13410545,106.9114553,Germany
2013,7,1.31,12930306,95.98563436,Germany
2013,8,1.33,13217535,94.26583635,Germany
2013,9,1.33,14390000,121.8649526,Germany
2013,10,1.36,14225984,120.415297,Germany
2013,11,1.35,12633388,107.9424471,Germany
2013,12,1.37,11225035,100.8131539,Germany
2014,1,1.36,10181838,107.103029,Germany
2014,2,1.36,10579088,107.9062295,Germany
2014,3,1.38,12436080,107.2263064,Germany
2014,4,1.38,11996444,102.9061354,Germany
2014,5,1.37,14342121,114.4060697,Germany
2014,6,1.36,13243174,104.4708052,Germany
2014,7,1.35,13560776,97.49524246,Germany
2014,8,1.33,13685517,97.68281622,Germany
2014,9,1.29,14873869,130.2307531,Germany
2014,10,1.27,14595005,115.2058161,Germany
2014,11,1.25,13133563,110.2578439,Germany
2014,12,1.23,11935478,102.6989557,Germany
2015,1,1.16,10448060,109.0617962,Germany
2015,2,1.14,10912208,110.6729584,Germany
2015,3,1.08,13143007,112.3308005,Germany
2015,4,1.08,12539275,107.3106319,Germany
2015,5,1.12,13878106,113.3267404,Germany
2015,6,1.12,14373624,119.0465668,Germany
2015,7,1.1,14164534,98.74962309,Germany
2015,8,1.11,13967161,99.98589125,Germany
2015,9,1.12,15136728,124.6472574,Germany
2015,10,1.12,14984274,117.5358146,Germany
2015,11,1.07,13534845,109.5103554,Germany
2015,12,1.09,12099952,102.9944631,Germany
2016,1,1.09,10740233,107.4149862,Germany
2016,2,1.11,11302569,108.5288511,Germany
2016,3,1.11,12973092,111.3104436,Germany
2016,4,1.13,13890666,118.8501201,Germany
2016,5,1.13,13882281,112.0609058,Germany
2016,6,1.12,14600448,115.2521601,Germany
2016,7,1.11,14073179,101.9298538,Germany
2016,8,1.12,13577257,99.18507027,Germany
2016,9,1.12,15396902,137.9156381,Germany
2016,10,1.1,14967570,119.5430643,Germany
2016,11,1.08,13944418,113.0876264,Germany
2016,12,1.05,12364176,106.0042398,Germany
2017,1,1.06,11195494,111.0483347,Germany
2017,2,1.06,11505086,111.9048503,Germany
2017,3,1.07,13884387,118.5314233,Germany
2017,4,1.07,13221216,108.6827605,Germany
2017,5,1.11,15056249,122.6974401,Germany
2017,6,1.12,14313120,111.3341877,Germany
2017,7,1.15,14572721,107.7521518,Germany
2017,8,1.18,14221305,102.2246963,Germany
2017,9,1.19,15792852,135.672962,Germany
2017,10,1.17,14976964,123.0088473,Germany
2017,11,1.17,14018266,115.8453173,Germany
2017,12,1.18,12757243,108.7131451,Germany
2018,1,1.22,11773027,110.9041219,Germany
2018,2,1.23,11920532,112.7834453,Germany
2018,3,1.23,13990553,115.3312553,Germany
2018,4,1.23,13927903,116.4108535,Germany
2018,5,1.18,14103902,114.4825612,Germany
2018,6,1.17,15391056,118.6668055,Germany
2018,7,1.17,14787307,106.5795693,Germany
2018,8,1.15,14915241,108.4101469,Germany
2018,9,1.17,15961902,140.4201163,Germany
2018,10,1.15,15484483,128.058493,Germany
2018,11,1.14,14508103,117.042419,Germany
2018,12,1.14,13171821,110.4658956,Germany
2019,1,1.14,12194984,114.9621078,Germany
2019,2,1.14,12223132,114.2147717,Germany
